// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln file. Will use current directory /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking/bin/release/netcoreapp3.0/80d9f06c-e183-4623-b861-19308c23a452
// command took 1.79s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking/bin/release/netcoreapp3.0/80d9f06c-e183-4623-b861-19308c23a452
// command took 6.16s and exited with 0
// ***** Done, took 00:00:08 (8.1 sec)   *****
// Found 1 benchmarks:
//   Md5VsSha256.IfStatement: Core(Runtime=Core)

// **************************
// Benchmark: Md5VsSha256.IfStatement: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "80d9f06c-e183-4623-b861-19308c23a452.dll" --benchmarkName "MyBenchmarks.Md5VsSha256.IfStatement" --job "Core" --benchmarkId 0 in /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking/bin/release/netcoreapp3.0/80d9f06c-e183-4623-b861-19308c23a452/bin/Release/netcoreapp3.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

WorkloadActual  31: 8388608 op, 524184101.00 ns, 62.4876 ns/op
WorkloadActual  32: 8388608 op, 535127359.00 ns, 63.7922 ns/op
WorkloadActual  33: 8388608 op, 521939794.00 ns, 62.2201 ns/op
WorkloadActual  34: 8388608 op, 534437751.00 ns, 63.7099 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 520387773.00 ns, 62.0351 ns/op
WorkloadResult   2: 8388608 op, 521403563.00 ns, 62.1561 ns/op
WorkloadResult   3: 8388608 op, 539236087.00 ns, 64.2820 ns/op
WorkloadResult   4: 8388608 op, 538258223.00 ns, 64.1654 ns/op
WorkloadResult   5: 8388608 op, 533651327.00 ns, 63.6162 ns/op
WorkloadResult   6: 8388608 op, 537861570.00 ns, 64.1181 ns/op
WorkloadResult   7: 8388608 op, 529792697.00 ns, 63.1562 ns/op
WorkloadResult   8: 8388608 op, 536316540.00 ns, 63.9339 ns/op
WorkloadResult   9: 8388608 op, 571898688.00 ns, 68.1756 ns/op
WorkloadResult  10: 8388608 op, 533509559.00 ns, 63.5993 ns/op
WorkloadResult  11: 8388608 op, 538134886.00 ns, 64.1507 ns/op
WorkloadResult  12: 8388608 op, 531086148.00 ns, 63.3104 ns/op
WorkloadResult  13: 8388608 op, 504068662.00 ns, 60.0897 ns/op
WorkloadResult  14: 8388608 op, 499217747.00 ns, 59.5114 ns/op
WorkloadResult  15: 8388608 op, 502719831.00 ns, 59.9289 ns/op
WorkloadResult  16: 8388608 op, 498316045.00 ns, 59.4039 ns/op
WorkloadResult  17: 8388608 op, 499219635.00 ns, 59.5116 ns/op
WorkloadResult  18: 8388608 op, 500195980.00 ns, 59.6280 ns/op
WorkloadResult  19: 8388608 op, 532459216.00 ns, 63.4741 ns/op
WorkloadResult  20: 8388608 op, 515233265.00 ns, 61.4206 ns/op
WorkloadResult  21: 8388608 op, 507608208.00 ns, 60.5116 ns/op
WorkloadResult  22: 8388608 op, 510344467.00 ns, 60.8378 ns/op
WorkloadResult  23: 8388608 op, 509541758.00 ns, 60.7421 ns/op
WorkloadResult  24: 8388608 op, 518051984.00 ns, 61.7566 ns/op
WorkloadResult  25: 8388608 op, 504398445.00 ns, 60.1290 ns/op
WorkloadResult  26: 8388608 op, 501280901.00 ns, 59.7573 ns/op
WorkloadResult  27: 8388608 op, 503661327.00 ns, 60.0411 ns/op
WorkloadResult  28: 8388608 op, 503488426.00 ns, 60.0205 ns/op
WorkloadResult  29: 8388608 op, 522826681.00 ns, 62.3258 ns/op
WorkloadResult  30: 8388608 op, 503855487.00 ns, 60.0643 ns/op
WorkloadResult  31: 8388608 op, 509262947.00 ns, 60.7089 ns/op
WorkloadResult  32: 8388608 op, 520206205.00 ns, 62.0134 ns/op
WorkloadResult  33: 8388608 op, 507018640.00 ns, 60.4413 ns/op
WorkloadResult  34: 8388608 op, 519516597.00 ns, 61.9312 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 61.7926 ns, StdErr = 0.3434 ns (0.56%); N = 34, StdDev = 2.0024 ns
Min = 59.4039 ns, Q1 = 60.0643 ns, Median = 61.5886 ns, Q3 = 63.4741 ns, Max = 68.1756 ns
IQR = 3.4098 ns, LowerFence = 54.9495 ns, UpperFence = 68.5888 ns
ConfidenceInterval = [60.5526 ns; 63.0326 ns] (CI 99.9%), Margin = 1.2400 ns (2.01% of Mean)
Skewness = 0.92, Kurtosis = 3.73, MValue = 2.15

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/MyBenchmarks.Md5VsSha256-report.csv
  BenchmarkDotNet.Artifacts/results/MyBenchmarks.Md5VsSha256-report-github.md
  BenchmarkDotNet.Artifacts/results/MyBenchmarks.Md5VsSha256-report.html
  BenchmarkDotNet.Artifacts/results/MyBenchmarks.Md5VsSha256-measurements.csv
  BuildPlots.R
RPlotExporter couldn't find Rscript in your PATH and no R_HOME environment variable is defined

// * Detailed results *
Md5VsSha256.IfStatement: Core(Runtime=Core)
Runtime = .NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 61.7926 ns, StdErr = 0.3434 ns (0.56%); N = 34, StdDev = 2.0024 ns
Min = 59.4039 ns, Q1 = 60.0643 ns, Median = 61.5886 ns, Q3 = 63.4741 ns, Max = 68.1756 ns
IQR = 3.4098 ns, LowerFence = 54.9495 ns, UpperFence = 68.5888 ns
ConfidenceInterval = [60.5526 ns; 63.0326 ns] (CI 99.9%), Margin = 1.2400 ns (2.01% of Mean)
Skewness = 0.92, Kurtosis = 3.73, MValue = 2.15
-------------------- Histogram --------------------
[58.863 ns ; 60.612 ns) | @@@@@@@@@@@@@
[60.612 ns ; 62.492 ns) | @@@@@@@@@@
[62.492 ns ; 64.434 ns) | @@@@@@@@@@
[64.434 ns ; 66.597 ns) | 
[66.597 ns ; 68.717 ns) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=macOS Mojave 10.14 (18A391) [Darwin 18.0.0]
Intel Core i7-4770HQ CPU 2.20GHz (Haswell), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=3.0.100-preview4-011223
  [Host] : .NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
  Core   : .NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT

Job=Core  Runtime=Core  

|      Method |     Mean |    Error |   StdDev | Rank |
|------------ |---------:|---------:|---------:|-----:|
| IfStatement | 61.79 ns | 1.240 ns | 2.002 ns |    1 |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  Rank   : Relative position of current benchmark mean among all benchmarks (Arabic style)
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:24 (24.48 sec), executed benchmarks: 1

Global total time: 00:00:32 (32.59 sec), executed benchmarks: 1
// * Artifacts cleanup *
